Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Manchester Leisure,Gas,01.03.2018,1905956317,"£1,442.73",Corona Energy Ltd
Manchester City Council,Manchester Leisure,Gas,01.03.2018,1905956354,£643.34,Corona Energy Ltd
Manchester City Council,Manchester Leisure,Gas,01.03.2018,1905956318,£560.60,Corona Energy Ltd
Manchester City Council,Manchester Leisure,I T Provision,01.03.2018,5100964703,"£4,616.86",Computeam Limited
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.03.2018,5100964647,"£4,897.00",Friends of Burnage Library Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.03.2018,5100964646,"£2,000.00",Over 50's Lifestyle Group
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.03.2018,5100964658,£747.00,Waters Edge Arts Ltd
Manchester City Council,Manchester Leisure,Grant and subscriptions awarded,01.03.2018,5100964648,£695.00,Manchester Secondary PRU
Manchester City Council,Hospitality + Trading Services,Gas,01.03.2018,1905956315,"£4,809.49",Corona Energy Ltd
Manchester City Council,Hospitality + Trading Services,Gas,01.03.2018,1905956380,"£2,824.80",Corona Energy Ltd
Manchester City Council,Hospitality + Trading Services,Gas,01.03.2018,1905956359,£593.68,Corona Energy Ltd
Manchester City Council,Hospitality + Trading Services,Gas,01.03.2018,1905956390,£539.67,Corona Energy Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,01.03.2018,5100964633,"£1,320.00",Pennine Pump & Tank Co.
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2018,5100964615,"£1,038.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2018,5100964620,"£1,038.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2018,5100964622,"£1,038.50",R & M Developments Ltd
Manchester City Council,Hospitality + Trading Services,Hire of Machinery,01.03.2018,5100964621,"£1,012.50",R & M Developments Ltd
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964673,"£1,200.00",Disabled Living
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964788,£600.00,Disabled Living
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964789,£600.00,Disabled Living
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964791,£600.00,Disabled Living
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964793,£600.00,Disabled Living
Manchester City Council,Adult Social Care,Training and Development,01.03.2018,5100964795,£600.00,Disabled Living
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956300,"£7,424.42",British Gas Plc
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956288,"£1,906.64",Gazprom Energy
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956303,"£1,716.74",Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956336,"£1,334.39",Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956420,"£1,140.15",Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956386,£932.02,Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956382,£705.43,Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956372,£654.14,Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956421,£578.55,Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956367,£557.09,Corona Energy Ltd
Manchester City Council,Adult Social Care,Gas,01.03.2018,1905956304,£501.39,Corona Energy Ltd
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964644,"£51,873.44",B & A Properties
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964643,"£6,056.01",Eeven Homes Ltd.
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964651,"£5,564.75",Diocese of Salford
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964654,"£5,564.75",Diocese of Salford
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964655,"£5,564.75",Diocese of Salford
Manchester City Council,Adult Social Care,Rents,01.03.2018,5100964657,"£5,564.75",Diocese of Salford
Manchester City Council,Adult Social Care,Transport Coach Hire,01.03.2018,5100964614,"£3,700.00",Redacted Personal Information
Manchester City Council,Adult Social Care,Furniture,01.03.2018,5100964747,"£45,140.29",Egan Reid Stationery Co Ltd
Manchester City Council,Adult Social Care,Professional fees,01.03.2018,5100964624,"£873,116.00",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Professional fees,01.03.2018,5100964626,"-£873,116.00",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2018,5100964650,"£4,487.50",Central Mcr Uni Hospital t/a
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2018,5100964638,£900.00,Tree Of Life Centre Wythenshawe
Manchester City Council,Adult Social Care,Third party payments relating to Voluntary Organisations,01.03.2018,5100964640,£900.00,Tree Of Life Centre Wythenshawe
Manchester City Council,Adult Social Care,Payments for services,01.03.2018,5100964641,"£2,200.00",Kaleidoscope Project
Manchester City Council,Adult Social Care,Payments for services,01.03.2018,5100964641,"£1,980.00",Kaleidoscope Project
Manchester City Council,Corporate Services,Gas,01.03.2018,1905956343,£877.28,Corona Energy Ltd
Manchester City Council,Corporate Services,Gas,01.03.2018,1905956356,£642.55,Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956312,"£10,570.31",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956311,"£8,298.14",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956323,"£1,922.82",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956321,"£1,802.39",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956325,"£1,692.75",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956322,"£1,563.61",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956320,"£1,530.72",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956389,"£1,528.53",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956328,"£1,478.77",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956327,"£1,437.02",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956324,"£1,384.49",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956331,"£1,347.84",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956334,"£1,305.24",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956335,"£1,181.78",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956333,"£1,149.01",Corona Energy Ltd
Manchester City Council,Housing Revenue Account,Gas,01.03.2018,1905956330,"£1,121.79",Corona Energy Ltd
